Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,18.18%,18.18%,No data,No data,No data,No data,79.07%,79.07%,No data,No data
realmediakc.com,< 10%,< 10%,16.38%,16.38%,19.30%,19.30%,70.12%,70.12%,51.14%,51.14%
