Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,24
64012,258
64014,386
64015,281
64016,4
64019,5
64024,281
64029,252
64030,131
64034,215
64037,168
64040,456
64048,12
64050,297
64052,201
64053,27
64054,3
64055,456
64056,221
64057,129
64058,54
64060,229
64061,1
64062,21
64063,183
64064,170
64067,21
64068,967
64070,49
64075,108
64076,97
64077,34
64078,131
64079,267
64080,139
64081,165
64082,107
64083,143
64085,79
64086,249
64088,70
64089,152
64097,6
64098,69
64106,199
64108,"6,255"
64109,39
64110,103
64111,375
64112,180
64113,132
64114,315
64116,659
64117,76
64118,302
64119,103
64120,35
64123,49
64124,55
64125,5
64126,4
64127,87
64128,2
64129,208
64130,119
64131,320
64132,116
64133,899
64134,172
64137,108
64138,276
64139,5
64145,112
64146,21
64149,37
64150,52
64151,393
64152,363
64153,106
64154,39
64155,186
64156,31
64157,131
64158,49
64161,4
64163,21
64164,8
64165,2
64401,1
64448,3
64454,2
64465,47
64477,7
64492,10
64493,6
64501,111
64503,128
64504,89
64505,3
64506,53
64507,44
64671,16
64701,164
64734,38
64742,14
64746,2
64747,68
65616,519
65802,426
65803,398
65804,421
65806,87
65807,521
65809,88
65810,216
66002,201
66006,190
66007,196
66012,19
66013,14
66018,154
66020,30
66025,14
66027,62
66030,839
66031,5
66043,39
66044,488
66045,1
66046,267
66047,106
66048,318
66049,833
66050,23
66052,20
66053,111
66054,17
66061,532
66062,837
66064,48
66066,5
66070,9
66071,196
66073,77
66083,254
66085,343
66086,60
66090,22
66092,60
66101,102
66102,130
66103,143
66104,255
66105,36
66106,256
66109,339
66111,700
66112,7
66202,113
66203,176
66204,316
66205,89
66206,137
66207,205
66208,16
66209,274
66210,274
66211,221
66212,306
66213,401
66214,116
66215,313
66216,188
66217,26
66218,61
66219,104
66220,152
66221,179
66223,284
66224,144
66226,151
66227,78
Branson,0
Springfield,0
