Age Range,Impressions,Percent of known total
18-24,"36,496",67.05%
25-34,"10,337",18.99%
35-44,"2,483",4.56%
45-54,"1,481",2.72%
55-64,"1,649",3.03%
65+,"2,292",4.21%
