Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"17,934"
10 AM,"12,515"
11 AM,"7,214"
12 PM,"4,992"
1 PM,"4,925"
2 PM,"4,877"
3 PM,"4,794"
4 PM,"4,868"
5 PM,"4,590"
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
