Gender,Age Range,Impressions,Percent of known total
Male,18-24,"34,433",63.26%
Male,25-34,"9,447",17.36%
Male,35-44,"1,845",3.39%
Male,45-54,931,1.71%
Male,55-64,"1,076",1.98%
Male,65+,"1,183",2.17%
Female,18-24,"2,041",3.75%
Female,25-34,781,1.43%
Female,35-44,623,1.14%
Female,45-54,524,0.96%
Female,55-64,545,1.00%
Female,65+,"1,002",1.84%
