Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,177
10 AM,205
11 AM,194
12 PM,243
1 PM,306
2 PM,255
3 PM,246
4 PM,210
5 PM,137
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
