Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,19.98%,19.98%,No data,No data,No data,No data,76.52%,76.52%,No data,No data
vimeo.com,< 10%,< 10%,19.47%,19.47%,3.13%,3.13%,92.37%,92.37%,81.63%,81.63%
bark.com,< 10%,< 10%,19.34%,19.34%,7.04%,7.04%,68.13%,68.13%,45.45%,45.45%
frostmediagroup.com,< 10%,< 10%,18.84%,18.84%,14.08%,14.08%,74.39%,74.39%,40.45%,40.45%
realmediakc.com,< 10%,< 10%,18.25%,18.25%,15.42%,15.42%,78.35%,78.35%,56.02%,56.02%
