Gender,Age Range,Impressions,Percent of known total
Male,18-24,106,8.18%
Male,25-34,176,13.58%
Male,35-44,166,12.81%
Male,45-54,178,13.73%
Male,55-64,92,7.10%
Male,65+,81,6.25%
Female,18-24,60,4.63%
Female,25-34,106,8.18%
Female,35-44,81,6.25%
Female,45-54,98,7.56%
Female,55-64,89,6.87%
Female,65+,63,4.86%
