Gender,Age Range,Impressions,Percent of known total
Male,18-24,198,10.71%
Male,25-34,282,15.26%
Male,35-44,224,12.12%
Male,45-54,179,9.69%
Male,55-64,116,6.28%
Male,65+,68,3.68%
Female,18-24,93,5.03%
Female,25-34,203,10.98%
Female,35-44,125,6.76%
Female,45-54,110,5.95%
Female,55-64,190,10.28%
Female,65+,60,3.25%
