Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,34.06%,34.06%,No data,No data,No data,No data,80.34%,80.34%,No data,No data
realmediakc.com,< 10%,< 10%,31.40%,31.40%,18.61%,18.61%,75.29%,75.29%,41.99%,41.99%
bark.com,< 10%,< 10%,33.21%,33.21%,9.20%,9.20%,54.21%,54.21%,26.94%,26.94%
vimeo.com,10.07%,10.07%,32.70%,32.70%,5.80%,5.80%,87.07%,87.07%,68.84%,68.84%
upwork.com,< 10%,< 10%,32.16%,32.16%,9.37%,9.37%,81.54%,81.54%,59.64%,59.64%
thumbtack.com,< 10%,< 10%,32.91%,32.91%,9.24%,9.24%,72.59%,72.59%,36.36%,36.36%
frostmediagroup.com,< 10%,< 10%,32.67%,32.67%,16.55%,16.55%,70.91%,70.91%,24.62%,24.62%
hydraulicstudio.com,< 10%,< 10%,32.74%,32.74%,10.21%,10.21%,71.53%,71.53%,37.86%,37.86%
