Date,Clicks,Impressions,Avg. CPC,Cost
"Wed, May 4, 2022",6,124,$5.85,$35.10
"Thu, May 5, 2022",5,122,$8.77,$43.84
"Fri, May 6, 2022",4,94,$7.44,$29.77
"Sat, May 7, 2022",4,62,$4.87,$19.48
"Sun, May 8, 2022",3,61,$3.43,$10.28
"Mon, May 9, 2022",1,9,$49.12,$49.12
"Tue, May 10, 2022",5,121,$8.32,$41.58
"Wed, May 11, 2022",6,85,$5.74,$34.45
"Thu, May 12, 2022",3,96,$1.96,$5.88
"Fri, May 13, 2022",4,154,$5.17,$20.70
"Sat, May 14, 2022",6,86,$5.77,$34.62
"Sun, May 15, 2022",2,71,$2.85,$5.70
"Mon, May 16, 2022",5,104,$5.08,$25.41
"Tue, May 17, 2022",8,175,$6.88,$55.08
"Wed, May 18, 2022",4,183,$5.81,$23.25
"Thu, May 19, 2022",4,140,$10.44,$41.75
"Fri, May 20, 2022",3,137,$3.44,$10.32
"Sat, May 21, 2022",4,80,$5.17,$20.67
"Sun, May 22, 2022",9,144,$3.86,$34.74
"Mon, May 23, 2022",9,198,$6.62,$59.59
"Tue, May 24, 2022",5,74,$8.92,$44.62
"Wed, May 25, 2022",7,111,$6.18,$43.28
"Thu, May 26, 2022",6,111,$6.65,$39.92
"Fri, May 27, 2022",4,84,$4.07,$16.26
"Sat, May 28, 2022",3,61,$4.00,$11.99
"Sun, May 29, 2022",2,67,$3.31,$6.62
"Mon, May 30, 2022",2,80,$5.28,$10.56
"Tue, May 31, 2022",10,110,$4.96,$49.56
"Wed, Jun 1, 2022",5,88,$8.56,$42.81
"Thu, Jun 2, 2022",3,108,$5.15,$15.45
