Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
video,$139.84,20,405,0.00,"(video production springfield mo, kansas city video production, video production companies kansas city)"
production,$98.84,14,315,0.00,"(kansas city production companies, post production kansas city, video production springfield mo)"
kansas,$63.02,10,205,0.00,"(kansas city production companies, videographer kansas city, post production kansas city)"
city,$63.02,10,199,0.00,"(kansas city production companies, videographer kansas city, post production kansas city)"
videographer,$18.07,4,116,0.00,"(videographer, videographer kansas city, videographer near me)"
near me,$23.51,3,115,0.00,"(recording studios near me, videographer near me, video transfer services near me)"
companies,$50.07,6,108,0.00,"(kansas city production companies, video production companies kansas city, production companies kansas city)"
productions,$92.23,9,92,0.00,"(epic productions, kc productions, richfield video productions)"
motion,$16.17,4,59,0.00,"(motion graphics, birthday motion graphics, motion design blogs)"
film,$31.78,4,50,0.00,"(film production companies, film internships kansas city, film production)"
live,$3.88,1,48,0.00,"(live streaming, live video, live streaming websites)"
studio,$9.17,1,47,0.00,"(recording studio, switcher studio, motion design studio)"
company,$16.80,4,46,0.00,"(production company, omaha production company, video company)"
studios,$20.83,4,45,0.00,"(recording studios near me, filming studios, film studios)"
recording,$4.81,1,40,0.00,"(recording studio, recording studios near me, recording studios)"
design,$11.07,2,39,0.00,"(graphic design, kinetic graphic design, motion design blogs)"
graphics,$9.89,2,36,0.00,"(motion graphics, birthday motion graphics, adobe motion graphics)"
graphic,$7.81,1,34,0.00,"(graphic design, kinetic graphic design, graphic design near me)"
in,$6.44,2,31,0.00,"(video production in kansas city, film production companies in kansas city, in the dark productions)"
media,$0.00,0,30,0.00,"(real media kc, streaming media, bic media kansas city)"
editing,$0.00,0,29,0.00,"(windows video editing software, video editing, video editing trade school)"
videography,$8.75,2,27,0.00,"(videography, wedding videography, how to start a videography business)"
streaming,$0.00,0,27,0.00,"(live streaming, streaming media, live streaming websites)"
wedding,$2.94,1,26,0.00,"(wedding videographer kansas city, kansas wedding videographer, wedding videography)"
services,$0.00,0,26,0.00,"(video transfer services near me, gateway studios and production services, video editing services)"
videographers,$0.00,0,24,0.00,"(freelance videographers near me, videographers, music video videographers near me)"
freelance,$8.07,2,24,0.00,"(freelance videographer near me, freelance videographers near me, freelance videographer)"
video editor,$4.42,1,21,0.00,"(video editor, looking for youtube video editor, become a professional video editor)"
music,$0.00,0,20,0.00,"(music video videographers near me, submit your music video, atlanta music videographers)"
to,$0.00,0,20,0.00,"(a to z video kansas city, how to start a videography business, i want to make a video)"
post production,$0.00,0,19,0.00,"(post production kansas city, orka post production studio, post production)"
a,$4.42,1,18,0.00,"(a to z video kansas city, how to start a videography business, i want to make a video)"
kc,$8.43,1,18,0.00,"(kc productions, real media kc, kc video production)"
for,$5.00,1,16,0.00,"(looking for youtube video editor, advertising agencies for tv commercials, college for videography)"
production springfield,$0.00,0,16,0.00,"(video production springfield mo, video production springfield missouri)"
mo,$0.00,0,15,0.00,(video production springfield mo)
outpost,$2.16,6,15,0.00,(outpost worldwide)
epic,$28.66,1,15,0.00,"(epic productions, epic photography kansas city, epic productions kansas city)"
worldwide,$2.16,6,15,0.00,(outpost worldwide)
videos,$2.65,1,14,0.00,"(product videos, best live action explainer videos, best nonprofit videos)"
audio,$0.00,0,13,0.00,"(audio video specialist, audio video companies near me, audio video distributors)"
how,$0.00,0,12,0.00,"(how to start a videography business, how much do motion designers make, how much do video editors charge)"
service,$0.00,0,12,0.00,"(video production service, 8mm film to digital conversion service near me, best video transfer service near me)"
transfer,$0.00,0,12,0.00,"(video transfer services near me, best video transfer service near me, film transfer near me)"
and,$0.00,0,11,0.00,"(gateway studios and production services, movie graphics and animations, video and photography)"
drone,$2.65,1,11,0.00,"(drone footage, drone footage pricing, drone video)"
producer,$0.00,0,11,0.00,"(video producer, creative video producer, facebook live producer)"
the,$0.00,0,10,0.00,"(in the dark productions, the old school production company, behind the scenes video production)"
richfield video,$0.00,0,10,0.00,"(richfield video productions, richfield video production)"
stream,$0.00,0,9,0.00,"(stream company, live stream, live stream a video)"
marketing,$0.00,0,9,0.00,"(marketing agencies kansas city, video marketing kansas city, graphic design marketing inc)"
school,$0.00,0,9,0.00,"(video editing trade school, the old school production company, motion design school)"
designer,$3.02,1,9,0.00,"(motion designer, motion designer careers, motion graphic designer)"
visual,$0.00,0,8,0.00,"(audio visual companies kansas city, audio visual companies near me, audio visual kansas city)"
lemonlight,$0.00,0,8,0.00,"(lemonlight, lemonlight media)"
digital,$0.00,0,8,0.00,"(8mm film to digital conversion service near me, convert film to digital near me, convert home movies to digital near me)"
corporate,$0.00,0,8,0.00,"(internal corporate video production, about us corporate video, corporate event kansas city)"
missouri,$8.31,1,8,0.00,"(video production missouri, missouri film commission, missouri film office)"
real,$0.00,0,8,0.00,"(real media kc, make a real estate video, real estate production)"
best,$0.00,0,8,0.00,"(best live action explainer videos, best motion graphics courses, best music videographers)"
pricing,$0.00,0,8,0.00,"(drone footage pricing, drone videography pricing, pricing video production)"
youtube,$0.00,0,8,0.00,"(looking for youtube video editor, i need someone to edit my youtube videos, outsource youtube video creation)"
webcast,$0.00,0,7,0.00,"(webcast, webcast music)"
local,$0.00,0,7,0.00,"(local photographers near me, local production companies, local video production companies)"
websites,$4.84,1,7,0.00,"(live streaming websites, livestreaming video websites, motion graphics on websites)"
promotional video,$0.00,0,7,0.00,"(promotional video, promotional video production company, what is promotional video)"
what,$0.00,0,7,0.00,"(what is promotional video, what is a production company, what is a videographer)"
software,$8.06,1,7,0.00,"(windows video editing software, one time purchase video editing software, video production software)"
filming studios,$0.00,0,7,0.00,"(filming studios, filming studios near me)"
switcher,$9.17,1,6,0.00,"(switcher studio, production switcher)"
business,$2.80,1,6,0.00,"(how to start a videography business, livestreaming business, production company business plan)"
