Gender,Age Range,Impressions,Percent of known total
Male,18-24,"75,919",88.79%
Male,25-34,"1,075",1.26%
Male,35-44,589,0.69%
Male,45-54,"1,160",1.36%
Male,55-64,"1,522",1.78%
Male,65+,"1,176",1.38%
Female,18-24,"1,575",1.84%
Female,25-34,612,0.72%
Female,35-44,537,0.63%
Female,45-54,358,0.42%
Female,55-64,558,0.65%
Female,65+,422,0.49%
