Age Range,Impressions,Percent of known total
18-24,"143,662",168.02%
25-34,"2,024",2.37%
35-44,"1,452",1.70%
45-54,"1,581",1.85%
55-64,"2,133",2.49%
65+,"3,632",4.25%
