Date,Clicks,Impressions,Avg. CPC,Cost
"Tue, Sep 26, 2023",5,"1,493",$4.42,$22.08
"Wed, Sep 27, 2023",12,"4,304",$1.60,$19.24
"Thu, Sep 28, 2023",12,"3,327",$1.34,$16.12
"Fri, Sep 29, 2023",10,"5,988",$1.01,$10.09
"Sat, Sep 30, 2023",15,"9,970",$0.95,$14.30
"Sun, Oct 1, 2023",12,"3,312",$1.34,$16.13
"Mon, Oct 2, 2023",4,"1,205",$6.46,$25.85
"Tue, Oct 3, 2023",7,"4,074",$1.59,$11.16
"Wed, Oct 4, 2023",6,"2,534",$1.69,$10.16
"Thu, Oct 5, 2023",11,"7,692",$1.57,$17.24
"Fri, Oct 6, 2023",9,"6,468",$2.16,$19.41
"Sat, Oct 7, 2023",9,"5,958",$1.54,$13.87
"Sun, Oct 8, 2023",11,"6,390",$1.22,$13.42
"Mon, Oct 9, 2023",8,"2,417",$1.42,$11.37
"Tue, Oct 10, 2023",14,"4,705",$0.95,$13.35
"Wed, Oct 11, 2023",21,"6,104",$1.36,$28.66
"Thu, Oct 12, 2023",18,"10,565",$2.24,$40.33
"Fri, Oct 13, 2023",15,"3,661",$2.03,$30.40
"Sat, Oct 14, 2023",22,"10,093",$1.14,$25.14
"Sun, Oct 15, 2023",15,"6,017",$2.02,$30.35
"Mon, Oct 16, 2023",14,"6,947",$1.49,$20.87
"Tue, Oct 17, 2023",13,"4,758",$1.51,$19.68
"Wed, Oct 18, 2023",6,"1,396",$4.47,$26.84
"Thu, Oct 19, 2023",8,"4,533",$2.51,$20.11
"Fri, Oct 20, 2023",10,"4,125",$2.19,$21.86
"Sat, Oct 21, 2023",15,"7,750",$0.82,$12.23
"Sun, Oct 22, 2023",10,"4,603",$1.28,$12.76
"Mon, Oct 23, 2023",17,"11,301",$1.06,$17.94
"Tue, Oct 24, 2023",12,"5,663",$1.89,$22.72
"Wed, Oct 25, 2023",14,"6,047",$1.10,$15.46
