Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,10.71%,10.71%,No data,No data,No data,No data,70.32%,70.32%,No data,No data
realmediakc.com,< 10%,< 10%,9.94%,9.94%,15.71%,15.71%,68.31%,68.31%,46.03%,46.03%
