Gender,Age Range,Impressions,Percent of known total
Male,18-24,155,8.56%
Male,25-34,267,14.74%
Male,35-44,261,14.41%
Male,45-54,205,11.32%
Male,55-64,85,4.69%
Male,65+,86,4.75%
Female,18-24,138,7.62%
Female,25-34,158,8.72%
Female,35-44,157,8.67%
Female,45-54,146,8.06%
Female,55-64,96,5.30%
Female,65+,57,3.15%
