Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,33.19%,33.19%,No data,No data,No data,No data,78.21%,78.21%,No data,No data
thumbtack.com,< 10%,< 10%,31.88%,31.88%,10.03%,10.03%,68.60%,68.60%,39.37%,39.37%
vimeo.com,< 10%,< 10%,31.79%,31.79%,5.99%,5.99%,87.62%,87.62%,70.45%,70.45%
fiverr.com,< 10%,< 10%,32.33%,32.33%,5.63%,5.63%,68.85%,68.85%,45.97%,45.97%
hydraulicstudio.com,< 10%,< 10%,31.97%,31.97%,8.94%,8.94%,77.48%,77.48%,41.12%,41.12%
