Date,Clicks,Impressions,Avg. CPC,Cost
"Sat, Mar 5, 2022",3,80,$2.46,$7.39
"Sun, Mar 6, 2022",1,70,$0.91,$0.91
"Mon, Mar 7, 2022",6,188,$8.07,$48.41
"Tue, Mar 8, 2022",9,233,$6.63,$59.69
"Wed, Mar 9, 2022",3,165,$9.55,$28.64
"Thu, Mar 10, 2022",7,72,$7.54,$52.75
"Fri, Mar 11, 2022",5,54,$9.54,$47.68
"Sat, Mar 12, 2022",6,60,$3.19,$19.15
"Sun, Mar 13, 2022",2,61,$3.10,$6.20
"Mon, Mar 14, 2022",2,63,$11.23,$22.47
"Tue, Mar 15, 2022",4,56,$9.18,$36.73
"Wed, Mar 16, 2022",1,46,$17.19,$17.19
"Thu, Mar 17, 2022",6,96,$2.52,$15.12
"Fri, Mar 18, 2022",5,100,$6.87,$34.34
"Sat, Mar 19, 2022",3,55,$3.25,$9.74
"Sun, Mar 20, 2022",5,78,$7.13,$35.64
"Mon, Mar 21, 2022",9,107,$6.64,$59.72
"Tue, Mar 22, 2022",7,162,$7.33,$51.34
"Wed, Mar 23, 2022",5,139,$7.82,$39.11
"Thu, Mar 24, 2022",4,134,$9.94,$39.76
"Fri, Mar 25, 2022",4,90,$4.64,$18.57
"Sat, Mar 26, 2022",5,74,$4.32,$21.60
"Sun, Mar 27, 2022",3,73,$4.48,$13.45
"Mon, Mar 28, 2022",4,89,$10.43,$41.71
"Tue, Mar 29, 2022",4,97,$7.70,$30.79
"Wed, Mar 30, 2022",6,113,$7.06,$42.38
"Thu, Mar 31, 2022",4,42,$2.18,$8.73
"Fri, Apr 1, 2022",3,88,$4.50,$13.50
"Sat, Apr 2, 2022",6,56,$3.27,$19.59
"Sun, Apr 3, 2022",9,78,$3.59,$32.28
