Age Range,Impressions,Percent of known total
18-24,"4,290",11.38%
25-34,"8,403",22.29%
35-44,"7,515",19.93%
45-54,"7,475",19.83%
55-64,"7,390",19.60%
65+,"5,198",13.79%
