Age Range,Impressions,Percent of known total
18-24,"741,307",101.86%
25-34,"43,928",6.04%
35-44,"20,309",2.79%
45-54,"16,446",2.26%
55-64,"14,177",1.95%
65+,"12,908",1.77%
