Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"7,408"
10 AM,"7,171"
11 AM,"6,611"
12 PM,"4,850"
1 PM,"4,121"
2 PM,"3,590"
3 PM,"2,805"
4 PM,"3,446"
5 PM,"2,121"
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
