Age Range,Impressions,Percent of known total
18-24,"5,168",16.18%
25-34,"8,759",27.42%
35-44,"6,966",21.81%
45-54,"5,500",17.22%
55-64,"6,474",20.27%
65+,"4,711",14.75%
