Gender,Age Range,Impressions,Percent of known total
Male,18-24,"3,512",10.99%
Male,25-34,"6,043",18.92%
Male,35-44,"3,212",10.05%
Male,45-54,"3,191",9.99%
Male,55-64,"3,330",10.42%
Male,65+,"2,142",6.71%
Female,18-24,749,2.34%
Female,25-34,"1,524",4.77%
Female,35-44,"2,396",7.50%
Female,45-54,"1,597",5.00%
Female,55-64,"2,504",7.84%
Female,65+,"1,745",5.46%
