Gender,Age Range,Impressions,Percent of known total
Male,18-24,192,9.59%
Male,25-34,343,17.12%
Male,35-44,293,14.63%
Male,45-54,197,9.84%
Male,55-64,149,7.44%
Male,65+,94,4.69%
Female,18-24,111,5.54%
Female,25-34,225,11.23%
Female,35-44,132,6.59%
Female,45-54,117,5.84%
Female,55-64,86,4.29%
Female,65+,64,3.20%
