Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,30.43%,30.43%,No data,No data,No data,No data,73.25%,73.25%,No data,No data
vimeo.com,< 10%,< 10%,29.15%,29.15%,5.63%,5.63%,89.86%,89.86%,74.82%,74.82%
hydraulicstudio.com,< 10%,< 10%,29.11%,29.11%,8.94%,8.94%,72.42%,72.42%,48.42%,48.42%
thumbtack.com,< 10%,< 10%,29.35%,29.35%,10.28%,10.28%,73.40%,73.40%,34.65%,34.65%
realmediakc.com,< 10%,< 10%,28.02%,28.02%,18.70%,18.70%,68.71%,68.71%,42.42%,42.42%
fiverr.com,< 10%,< 10%,29.59%,29.59%,6.23%,6.23%,70.00%,70.00%,44.16%,44.16%
