Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"76,563"
10 AM,"53,974"
11 AM,"23,493"
12 PM,"7,780"
1 PM,"2,614"
2 PM,"1,761"
3 PM,76
4 PM,67
5 PM,69
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
