Gender,Age Range,Impressions,Percent of known total
Male,18-24,"125,953",81.94%
Male,25-34,"10,909",7.10%
Male,35-44,"2,714",1.77%
Male,45-54,"2,340",1.52%
Male,55-64,"1,430",0.93%
Male,65+,760,0.49%
Female,18-24,"3,517",2.29%
Female,25-34,"1,997",1.30%
Female,35-44,"1,102",0.72%
Female,45-54,614,0.40%
Female,55-64,"1,289",0.84%
Female,65+,"1,088",0.71%
