Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,71
64012,936
64014,"1,038"
64015,"1,032"
64016,33
64019,31
64020,4
64024,550
64029,961
64030,382
64034,490
64037,146
64040,339
64048,10
64050,487
64052,422
64053,146
64054,12
64055,939
64056,403
64057,521
64058,247
64060,756
64061,23
64062,64
64063,408
64064,397
64067,136
64068,"2,464"
64070,151
64075,472
64076,256
64077,36
64078,419
64079,818
64080,515
64081,414
64082,418
64083,611
64085,230
64086,795
64088,214
64089,454
64097,4
64098,77
64106,366
64108,"12,385"
64109,236
64110,578
64111,737
64112,371
64113,598
64114,"1,240"
64116,"1,599"
64117,189
64118,896
64119,244
64120,47
64123,119
64124,128
64125,4
64126,144
64127,173
64128,26
64129,348
64130,213
64131,974
64132,415
64133,"2,687"
64134,599
64136,1
64137,534
64138,849
64139,28
64145,291
64146,24
64147,3
64149,187
64150,106
64151,"1,231"
64152,"1,441"
64153,215
64154,70
64155,494
64156,93
64157,321
64158,85
64161,31
64163,33
64164,25
64165,29
64166,1
64401,4
64429,1
64439,13
64448,10
64454,68
64465,102
64477,11
64490,2
64492,22
64501,235
64503,484
64504,316
64505,11
64506,129
64507,235
64668,10
64671,68
64701,502
64734,157
64742,25
64746,45
64747,155
65616,"2,158"
65802,"1,593"
65803,"1,426"
65804,"1,919"
65806,256
65807,"1,753"
65809,536
65810,964
66002,320
66006,442
66007,459
66012,40
66013,51
66018,454
66020,21
66025,100
66027,119
66030,"1,391"
66031,4
66043,158
66044,"1,680"
66045,2
66046,680
66047,545
66048,"1,156"
66049,"2,340"
66050,28
66052,31
66053,361
66054,79
66061,"1,892"
66062,"2,042"
66064,140
66066,140
66067,2
66071,388
66073,159
66083,722
66085,489
66086,153
66090,180
66092,226
66101,254
66102,260
66103,574
66104,415
66105,71
66106,613
66109,963
66111,"1,327"
66112,3
66202,397
66203,352
66204,775
66205,310
66206,506
66207,352
66208,142
66209,"1,042"
66210,746
66211,467
66212,970
66213,927
66214,365
66215,895
66216,424
66217,184
66218,247
66219,476
66220,181
66221,696
66223,618
66224,444
66226,396
66227,255
Branson,0
Springfield,0
