Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,14.19%,14.19%,No data,No data,No data,No data,71.87%,71.87%,No data,No data
realmediakc.com,< 10%,< 10%,13.11%,13.11%,15.37%,15.37%,66.83%,66.83%,49.23%,49.23%
