Age Range,Impressions,Percent of known total
18-24,"132,725",86.35%
25-34,"13,352",8.69%
35-44,"3,969",2.58%
45-54,"3,148",2.05%
55-64,"2,910",1.89%
65+,"1,868",1.22%
