Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
63114,1
63343,5
63461,7
63501,2
64011,97
64012,"1,031"
64014,"1,010"
64015,"1,525"
64016,8
64018,21
64019,8
64024,896
64029,"1,223"
64030,568
64034,521
64035,15
64037,275
64040,428
64048,175
64050,505
64052,422
64053,115
64054,21
64055,"1,174"
64056,748
64057,605
64058,193
64060,"1,489"
64061,117
64062,280
64063,252
64064,536
64067,138
64068,"2,135"
64070,115
64075,343
64076,325
64077,80
64078,646
64079,922
64080,662
64081,447
64082,577
64083,"1,089"
64084,4
64085,298
64086,"1,877"
64088,208
64089,931
64093,9
64097,41
64098,197
64106,223
64108,813
64109,192
64110,295
64111,562
64112,341
64113,504
64114,872
64116,791
64117,301
64118,"1,007"
64119,838
64120,64
64123,151
64124,82
64125,42
64126,4
64127,216
64128,5
64129,356
64130,230
64131,911
64132,532
64133,"1,907"
64134,342
64136,13
64137,306
64138,788
64139,10
64145,400
64146,69
64149,136
64150,194
64151,"1,838"
64152,"1,766"
64153,324
64154,146
64155,785
64156,98
64157,665
64158,112
64161,12
64163,95
64164,24
64165,59
64166,33
64401,194
64402,3
64424,4
64429,2
64439,83
64448,127
64454,176
64465,331
64468,1
64469,1
64477,247
64485,3
64490,61
64491,2
64492,52
64493,51
64501,353
64503,511
64504,346
64505,5
64506,271
64507,806
64624,6
64628,1
64650,3
64671,152
64683,2
64689,1
64701,717
64720,9
64724,2
64725,1
64734,127
64735,2
64742,49
64746,86
64747,273
64763,1
64804,1
64836,1
64850,1
65041,1
65336,1
65340,4
65536,2
65556,2
65584,4
65616,"3,616"
65648,2
65653,18
65672,44
65712,2
65714,3
65721,9
65737,19
65738,1
65742,1
65757,8
65802,"1,225"
65803,"1,127"
65804,"1,892"
65806,130
65807,"1,993"
65809,349
65810,"1,419"
66002,534
66006,546
66007,683
66012,45
66013,83
66018,544
66020,67
66021,5
66025,261
66027,78
66030,"1,221"
66031,35
66035,1
66043,205
66044,"1,394"
66046,859
66047,791
66048,"1,293"
66049,"2,058"
66050,13
66052,55
66053,355
66054,137
66061,"2,316"
66062,"2,650"
66064,174
66066,44
66067,3
66070,55
66071,400
66073,209
66076,11
66079,7
66083,729
66085,430
66086,238
66090,178
66092,226
66097,1
66101,210
66102,136
66103,546
66104,548
66105,79
66106,835
66109,"1,082"
66111,"1,775"
66112,136
66202,312
66203,442
66204,"1,011"
66205,418
66206,757
66207,517
66208,270
66209,873
66210,644
66211,278
66212,"1,086"
66213,"1,261"
66214,443
66215,"1,029"
66216,880
66217,127
66218,401
66219,695
66220,190
66221,990
66223,821
66224,848
66226,527
66227,438
66411,1
66434,4
66442,1
66449,2
66509,1
66512,3
66523,7
66538,1
66539,4
66604,6
66606,2
66608,1
66609,1
66610,1
66611,1
66617,2
66713,1
66736,2
66801,7
66861,2
67010,1
67026,1
67037,1
67039,2
67042,1
67062,7
67114,1
67146,2
67203,2
67204,2
67205,6
67212,1
67217,2
67337,1
67401,2
67432,9
67439,2
67460,1
67502,1
67554,1
67579,1
71913,2
72019,2
72076,2
72712,2
72715,2
72758,5
72764,1
72904,1
Branson,0
Springfield,0
