Gender,Age Range,Impressions,Percent of known total
Male,18-24,"209,687",93.17%
Male,25-34,"1,881",0.84%
Male,35-44,"1,536",0.68%
Male,45-54,"1,690",0.75%
Male,55-64,"1,454",0.65%
Male,65+,634,0.28%
Female,18-24,"2,062",0.92%
Female,25-34,"1,388",0.62%
Female,35-44,918,0.41%
Female,45-54,660,0.29%
Female,55-64,"2,253",1.00%
Female,65+,888,0.39%
