Date,Clicks,Impressions,Avg. CPC,Cost
"Fri, Jul 28, 2023",14,"5,833",$0.90,$12.62
"Sat, Jul 29, 2023",15,"9,286",$0.87,$13.07
"Sun, Jul 30, 2023",14,"4,517",$1.06,$14.91
"Mon, Jul 31, 2023",5,"2,288",$2.28,$11.39
"Tue, Aug 1, 2023",6,"5,362",$2.15,$12.87
"Wed, Aug 2, 2023",16,"9,050",$1.25,$19.94
"Thu, Aug 3, 2023",13,"6,273",$1.02,$13.24
"Fri, Aug 4, 2023",15,"6,396",$1.14,$17.10
"Sat, Aug 5, 2023",25,"16,859",$0.79,$19.64
"Sun, Aug 6, 2023",16,"13,896",$0.72,$11.56
"Mon, Aug 7, 2023",21,"13,124",$0.68,$14.27
"Tue, Aug 8, 2023",11,"8,440",$1.03,$11.36
"Wed, Aug 9, 2023",12,"11,240",$1.20,$14.38
"Thu, Aug 10, 2023",11,"2,341",$1.02,$11.27
"Fri, Aug 11, 2023",9,"5,778",$1.15,$10.36
"Sat, Aug 12, 2023",18,"11,399",$0.60,$10.77
"Sun, Aug 13, 2023",16,"14,042",$0.83,$13.26
"Mon, Aug 14, 2023",24,"10,346",$0.56,$13.44
"Tue, Aug 15, 2023",25,"5,116",$0.52,$13.05
"Wed, Aug 16, 2023",21,"9,553",$0.79,$16.67
"Thu, Aug 17, 2023",13,"4,887",$0.86,$11.15
"Fri, Aug 18, 2023",21,"7,733",$0.77,$16.26
"Sat, Aug 19, 2023",24,"8,456",$0.68,$16.34
"Sun, Aug 20, 2023",16,"9,524",$0.93,$14.88
"Mon, Aug 21, 2023",12,"6,375",$1.23,$14.72
"Tue, Aug 22, 2023",19,"6,737",$0.78,$14.78
"Wed, Aug 23, 2023",15,"4,451",$0.85,$12.77
"Thu, Aug 24, 2023",17,"9,414",$0.74,$12.54
"Fri, Aug 25, 2023",15,"6,909",$0.88,$13.13
"Sat, Aug 26, 2023",13,"8,495",$0.88,$11.44
