Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"143,665"
10 AM,"75,061"
11 AM,"20,263"
12 PM,"5,112"
1 PM,3
2 PM,4
3 PM,5
4 PM,5
5 PM,2
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
