Age Range,Impressions,Percent of known total
18-24,"213,098",94.69%
25-34,"3,637",1.62%
35-44,"2,667",1.19%
45-54,"2,552",1.13%
55-64,"3,823",1.70%
65+,"1,612",0.72%
